"About Schmidt","2002","125 mins","Drama","No","","0","Vudu","R"
"The Absent Minded Professor","1961","92 mins","Comedy; Family; Science Fiction; Sports","No","","0","Vudu","G"
"The Accidental Spy","2001","87 mins","Action; Comedy; Crime; Mystery; Thriller","No","","0","","PG-13"
"According To Jim: Season 1","2001","470 mins","Comedy; Romance","Yes","According To Jim","22","Vudu","TV-PG"
"According To Jim: Season 2","2001","660 mins","Comedy; Romance","Yes","According To Jim","28","Vudu","TV-PG"
"According To Jim: Season 3","2003","624 mins","Comedy; Romance","Yes","According To Jim","29","Vudu","TV-PG"
"According To Jim: Season 4","2004","598 mins","Comedy; Romance","Yes","According To Jim","27","Vudu","TV-PG"
"According To Jim: Season 5","2005","486 mins","Comedy; Romance","Yes","According To Jim","22","Vudu","TV-PG"
"According To Jim: Season 6","2007","396 mins","Comedy; Romance","Yes","According To Jim","18","Vudu","TV-PG"
"According To Jim: Season 7","2008","394 mins","Comedy; Romance","Yes","According To Jim","18","Vudu","TV-PG"
"According To Jim: Season 8","2008","404 mins","Comedy; Romance","Yes","According To Jim","18","Vudu","TV-PG"
"Aces High","1976","114 mins","Action; Drama; War","No","","0","Vudu","PG"
"Acts Of Violence","2018","86 mins","Action; Crime; Thriller","No","","0","Vudu","R"
"The Addams Family","1991","99 mins","Comedy; Fantasy","No","","0","Vudu","PG-13"
"Addams Family Values","1993","94 mins","Comedy; Fantasy","No","","0","Vudu","PG-13"
"The Addams Family","2019","86 mins","Animation; Comedy; Family; Fantasy; Horror","No","","0","Vudu","PG"
"The Addams Family 2","2021","93 mins","Adventure; Animation; Comedy; Family; Fantasy; Horror","No","","0","Vudu","PG"
"Open Water 2: Adrift","2006","94 mins","Adventure; Drama; Horror; Thriller","No","","0","Vudu","R"
"Adventures of Bailey: The Lost Puppy","2010","90 mins","Family","No","","0","DVD","G"
"The Adventures of Baron Munchausen","1988","126 mins","Adventure; Comedy; Fantasy","No","","0","Vudu","PG"
