title,year,id,type,season
He-Man and the Masters of the Universe: Season 2,1984,1137197,show,2
Home Improvement: Season 2,1992,550147,show,2
I Dream of Jeannie: Season 2,1966,446669,show,2
I Love Lucy: Season 2,1952,4215125,show,2
Inspector Gadget: Season 2,,211994,show,2
Kaiju No. 8: Season 2,,4415309,show,2
Knight Rider: Classic: Season 2,,298257,show,2
Land of the Lost: Season 2,,2858996,show,2
Last Man Standing: Season 2,2012,387412,show,2
Leave It to Beaver: Season 2,1958,4743900,show,2
Little House on the Prairie: Season 2,1975,527204,show,2
Long Lost Family: Season 2,,847626,show,2
Looney Tunes Cartoons: Season 2,2021,1968817,show,2
Lost in Space: Season 2,1966,129734,show,2
Mama's Family: Season 2,1983,1154294,show,2
Mission Impossible: Season 2,1967,522233,show,2
Modern Family: Season 2,2010,183098,show,2
"Murder, She Wrote: Season 2",1985,3644225,show,2
My Wife and Kids: Season 2,2001,362659,show,2
North and South: Season 2,1986,1154743,show,2
Ozzy and Jack's World Detour: Season 2,2017,908506,show,2
Parks and Recreation: Season 2,2009,215787,show,2
Pink Panther Show: Season 2,,818746,show,2
Saved By The Bell: Season 2,1990,499499,show,2
Schoolhouse Rock: Season 2,,333305,show,2
"Scooby-Doo, Where Are You!: Season 2",1970,266389,show,2
Scorpion: Season 2,2015,701729,show,2
Scrubs: Season 2,2002,333168,show,2
Silicon Valley: Season 2,2015,678706,show,2
Step by Step: Season 2,1992,3214553,show,2
The A-Team: Season 2,1983,298499,show,2
The Addams Family Kooky Collection: Volume 2,1965,1091338,show,2
The Andy Griffith Show: Season 2,1961,520190,show,2
The Big Bang Theory: Season 2,,305437,show,2
The Chosen: Season 2,,2777843,show,2
The Dick Van Dyke Show: Season 2,1962,4609215,show,2
The Dukes of Hazzard: Season 2,1979,138711,show,2
The Fairly OddParents: Volume 2,2001,458119,show,2
The Flintstones: Season 2,1961,134457,show,2
The Fresh Prince of Bel-Air: Season 2,1991,232975,show,2
The Incredible Hulk [1977]: Season 2,1978,298705,show,2
The Jetsons: Season 2,1985,135864,show,2
The Office: Season 2,2005,198473,show,2
The Our Gang Collection: Volume 2,,276639,show,2
"The Three Stooges Collection: Volume 2, 1937-1939",1937,310385,show,2
The Twilight Zone (2019): Season 2,2020,1633333,show,2
The Twilight Zone: Season 2,1960,261283,show,2
The Waltons: Season 2,1973,1152113,show,2
Tom Clancy's Jack Ryan: Season 2,2019,1531512,show,2
Wonder Woman: Season 2,1977,861527,show,2
Young & Hungry: Season 2,2015,4278859,show,2
Young Sheldon: Season 2,2018,974220,show,2
Z Nation: Season 2,2015,693012,show,2
12 Monkeys: Season 3,2017,867321,show,3
According To Jim: Season 3,2003,376602,show,3
Adventures of Superman: Season 3,,136218,show,3
ALF: Season 3,1988,4023035,show,3
Alice: Season 3,1978,4105075,show,3
Batman: Season 3,1967,617049,show,3
Bewitched: Season 3,1966,4009097,show,3
Breaking Bad: Season 3,2010,207687,show,3
Cheers: Season 3,1984,255879,show,3
CHiPs: Season 3,1979,3550832,show,3
Criminal Minds: Season 3,2007,242307,show,3
CSI: Crime Scene Investigation: Season 3,2002,238332,show,3
CSI: NY: Season 3,2006,361287,show,3
CSI: Vegas: Season 3,2024,2991777,show,3
Declassified: Season 3,,1261882,show,3
Dinosaurs: Season 3,1992,419423,show,3
Doctor Who: Season 3,,202783,show,3
Drunk History: Season 3,2015,694639,show,3
Duck Dodgers: Season 3,2005,1502031,show,3
Duck Dynasty: Season 3,2013,412620,show,3
Family Matters: Season 3,1991,1152928,show,3
Family Ties: Season 3,1984,369340,show,3
Frasier: Season 3,1995,519649,show,3
Friends: Season 3,1996,135637,show,3
Full House: Season 3,1989,1150522,show,3
Get Smart: Season 3,1967,1092837,show,3
Gilligan's Island: The Complete Third Season,1966,592923,show,3
Growing Pains: Season 3,1987,236203,show,3
Home Improvement: Season 3,1993,550363,show,3
I Dream of Jeannie: Season 3,1967,311376,show,3
I Love Lucy: Season 3,1953,4215221,show,3
Inspector Gadget: Season 3,,212070,show,3
Knight Rider: Classic: Season 3,,298307,show,3
Land of the Lost: Season 3,,2859024,show,3
Last Man Standing: Season 3,2013,484093,show,3
Leave It to Beaver: Season 3,1959,4744023,show,3
Little House on the Prairie: Season 3,1976,577952,show,3
Long Lost Family: Season 3,,905864,show,3
Looney Tunes Cartoons: Season 3,2021,1974365,show,3
Lost in Space: Season 3,1967,129765,show,3
Mama's Family: Season 3,1986,1154363,show,3
Mission Impossible: Season 3,1968,522493,show,3
Modern Family: Season 3,2011,385026,show,3
"Murder, She Wrote: Season 3",1986,3644306,show,3
My Wife and Kids: Season 3,2002,551951,show,3
North and South: Season 3,1994,1154764,show,3
Ozzy and Jack's World Detour: Season 3,2018,959869,show,3
Parks and Recreation: Season 3,2011,215894,show,3
Pink Panther Show: Season 3,,818750,show,3
Pink Panther Show: Season 4,,818754,show,3
Saved By The Bell: Season 3,1990,499527,show,3
Schoolhouse Rock: Season 3,,333281,show,3
"Scooby-Doo, Where Are You!: Season 3",1978,266407,show,3
Scorpion: Season 3,2016,792810,show,3
Scrubs: Season 3,2003,327294,show,3
Silicon Valley: Season 3,2016,780554,show,3
Step by Step: Season 3,1993,3214628,show,3
The A-Team: Season 3,1984,298547,show,3
The Addams Family Kooky Collection: Volume 3,1965,1091404,show,3
The Andy Griffith Show: Season 3,1962,520328,show,3
The Big Bang Theory: Season 3,,305535,show,3
The Chosen: Season 3,,2777870,show,3
The Dick Van Dyke Show: Season 3,1963,4609383,show,3
The Dukes of Hazzard: Season 3,1980,138713,show,3
The Fairly OddParents: Volume 3,2003,458147,show,3
The Flintstones: Season 3,1962,134458,show,3
The Fresh Prince of Bel-Air: Season 3,1992,232976,show,3
The Incredible Hulk [1977]: Season 3,1979,298753,show,3
The Jetsons: Season 3,1987,1479299,show,3
The Office: Season 3,2006,198565,show,3
"The Three Stooges Collection: Volume 3, 1940-1942",1940,358597,show,3
The Twilight Zone: Season 3,1961,261284,show,3
The Waltons: Season 3,1974,1152369,show,3
Tom Clancy's Jack Ryan: Season 3,2022,2882828,show,3
Wonder Woman: Season 3,1978,861596,show,3
Young & Hungry: Season 3,2016,4278925,show,3
Young Sheldon: Season 3,2019,1239123,show,3
