"Title","Movie Release Year","Running Time","IMDb Rating","Genre","Format","Is TV Series","Release Year","Seen It","Front Cover"
"Conspiracy Theory","1997","135 mins","6.7","Action; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\ConspiracyTheory199724930_f.jpg"
"Constantine","2005","121 mins","7.0","Action; Fantasy; Horror; Mystery","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Constantine200544404_f.jpg"
"Contagion","2011","106 mins","6.8","Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Contagion201160174_f.jpg"
"Cool Hand Luke","1967","127 mins","8.0","Crime; Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CoolHandLuke196753867_f.jpg"
"Cool Runnings","1993","98 mins","7.0","Biography; Comedy; Family","Vudu","No","2001","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CoolRunnings199353350_f.jpg"
"Coraline","2009","100 mins","7.8","Animation; Drama; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Coraline200975738_f.jpg"
"The Core","2003","135 mins","5.5","Action; Adventure; Science Fiction; Thriller","Vudu","No","2003","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCore200327949_f.jpg"
"Corpse Bride","2005","77 mins","7.4","Animation; Drama; Family; Fantasy; Musical; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CorpseBride200535336_f.jpg"
"The Cotton Club","1984","127 mins","6.6","Crime; Drama; Music","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCottonClub198463758_f.jpg"
"The Country Bears","2002","88 mins","4.3","Comedy; Family; Music","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCountryBears200257179_f.jpg"
"Couples Retreat","2009","113 mins","5.6","Comedy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CouplesRetreat200960556_f.jpg"
"Courageous","2011","130 mins","6.9","Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Courageous201113626_f.jpg"
"The Courier","2020","112 mins","7.2","Drama; History; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCourier202057451_f.jpg"
"The Court Jester","1955","101 mins","7.8","Adventure; Comedy; Family; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCourtJester1955900_f.jpg"
"The Covenant","2023","123 mins","7.5","Action; Thriller; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCovenant20238694_f.jpg"
"Cowboy And The Senorita","1944","56 mins","5.7","Action; Adventure; Drama; Western","VHS","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CowboyAndTheSenorita19446085_f.jpg"
"The Craft","1996","101 mins","6.5","Drama; Fantasy; Horror; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCraft199641388_f.jpg"
"Crank","2006","88 mins","6.9","Action; Crime; Thriller","Vudu","No","2007","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Crank200634663_f.jpg"
"Crash","2004","112 mins","7.7","Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Crash20045664_f.jpg"
"Crazy Eights","2006","80 mins","3.8","Horror","DVD","No","2008","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrazyEights20064898_f.jpg"
"Crazy Rich Asians","2018","120 mins","6.9","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrazyRichAsians201854049_f.jpg"
"Crazy, Stupid, Love.","2011","118 mins","7.4","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrazyStupidLove201154059_f.jpg"
"Creation Festival Live","","","0","Music","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CreationFestivalLive397_f.jpg"
"Creature from the Black Lagoon","1954","79 mins","6.9","Horror; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CreaturefromtheBlackLagoon41258_f.jpg"
"Creed","2015","133 mins","7.6","Action; Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Creed201524624_f.jpg"
"Creed II","2018","130 mins","7.1","Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CreedII201824640_f.jpg"
"Creed III","2023","116 mins","6.7","Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CreedIII202324767_f.jpg"
"Criminal Minds: Season 1","2005","961 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1200569510AM52_f.jpg"
"Criminal Minds: Season 2","2006","968 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason2200669531_f.jpg"
"Criminal Minds: Season 3","2007","966 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason3200769539_f.jpg"
"Criminal Minds: Season 4","2008","1090 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason4200869547_f.jpg"
"Criminal Minds: Season 5","2009","1002 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason5200969554_f.jpg"
"Criminal Minds: Season 6","2010","1025 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason6201069559_f.jpg"
"Criminal Minds: Season 7","2011","1017 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason7201169565_f.jpg"
"Criminal Minds: Season 8","2012","1009 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason8201269570_f.jpg"
"Criminal Minds: Season 9","2013","1016 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason9201369577_f.jpg"
"Criminal Minds: Season 10","2014","966 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1020169584_f.jpg"
"Criminal Minds: Season 11","2015","922 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1120169593_f.jpg"
"Criminal Minds: Season 12","2016","920 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1220169601_f.jpg"
"Criminal Minds: Season 13","2017","925 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1320169607_f.jpg"
"Criminal Minds: Season 14","2018","627 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1420169616_f.jpg"
"Criminal Minds: Season 15","2020","422 mins","8.1","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CriminalMindsSeason1520269625_f.jpg"
"Crippled Lamb","2000","","0","Family","DVD","No","2002","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrippledLamb200034891_f.jpg"
"Crocodile Dundee","1986","97 mins","6.6","Action; Adventure; Comedy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrocodileDundee198624530_f.jpg"
"Crocodile Dundee II","1988","108 mins","5.7","Action; Adventure; Comedy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrocodileDundeeII198824551_f.jpg"
"Crocodile Dundee in Los Angeles","2001","92 mins","4.8","Action; Adventure; Comedy; Crime","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CrocodileDundeeinLosAngele24564_f.jpg"
"The Croods","2013","98 mins","7.1","Adventure; Animation; Comedy; Family","Vudu","No","2013","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCroods201375637_f.jpg"
"Cruella","2021","134 mins","7.3","Adventure; Comedy; Crime; Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Cruella202169694_f.jpg"
"CSI: Crime Scene Investigation: Season 1","2000","1071 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47374_f.jpg"
"CSI: Crime Scene Investigation: Season 2","2001","1051 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47408_f.jpg"
"CSI: Crime Scene Investigation: Season 3","2002","1022 mins","7.7","Crime","Vudu","Yes","2004","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47684_f.jpg"
"CSI: Crime Scene Investigation: Season 4","2003","1011 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47415_f.jpg"
"CSI: Crime Scene Investigation: Season 5","2004","1237 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47422_f.jpg"
"CSI: Crime Scene Investigation: Season 6","2005","1083 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47426_f.jpg"
"CSI: Crime Scene Investigation: Season 7","2006","1440 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47431_f.jpg"
"CSI: Crime Scene Investigation: Season 8","2007","772 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47434_f.jpg"
"CSI: Crime Scene Investigation: Season 9","2008","1263 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47353_f.jpg"
"CSI: Crime Scene Investigation: Season 10","2009","1370 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47384_f.jpg"
"CSI: Crime Scene Investigation: Season 11","2010","1293 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47388_f.jpg"
"CSI: Crime Scene Investigation: Season 12","2011","1264 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47391_f.jpg"
"CSI: Crime Scene Investigation: Season 13","2012","962 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47398_f.jpg"
"CSI: Crime Scene Investigation: Season 14","2013","951 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47403_f.jpg"
"CSI: Crime Scene Investigation: Season 15","2014","771 mins","7.7","Crime; Drama; Mystery; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSICrimeSceneInvestigation47404_f.jpg"
"CSI: Vegas: Season 1","2021","369 mins","7.4","Crime; Drama; Mystery","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSIVegasSeason1202188030627L_f.jpg"
"CSI: Vegas: Season 2","2022","","7.4","Crime; Drama; Mystery","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSIVegasSeason22022880442AF1_f.jpg"
"CSI: Vegas: Season 3","2024","","7.4","Crime; Drama; Mystery","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CSIVegasSeason3202488054_f.jpg"
"Cube","1997","90 mins","7.1","Horror; Mystery; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Cube199756737_f.jpg"
"The Curious Case of Benjamin Button","2008","166 mins","7.8","Drama; Fantasy; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCuriousCaseofBenjaminB13595_f.jpg"
"Curly Top","1935","75 mins","6.8","Family; Musical; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CurlyTop193513557_f.jpg"
"Cutter's Way","1981","109 mins","6.8","Crime; Drama; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\CuttersWay198112977_f.jpg"
"The Cutting Edge","1992","97 mins","6.9","Comedy; Drama; Romance; Sports","Vudu","No","2001","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheCuttingEdge199241103_f.jpg"
