"Title","Movie Release Year","Running Time","IMDb Rating","Genre","Format","Is TV Series","Release Year","Seen It","Front Cover"
"3:10 to Yuma","2007","122 mins","7.6","Action; Crime; Drama; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\310toYuma200793204_f.jpg"
"3:10 to Yuma","1957","92 mins","7.6","Drama; Thriller; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\310toYuma195781869_f.jpg"
"3-2-1 Penguins!: The Doom Funnel Rescue","2003","34 mins","0","Animation; Family","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\321PenguinsTheDoomFunn78715_f.jpg"
"The 5,000 Fingers of Dr. T.","1953","89 mins","6.7","Family; Fantasy; Music; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The5000FingersofDrT181855_f.jpg"
"The 5th Wave","2016","112 mins","5.2","Action; Adventure; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The5thWave201687250_f.png"
"The 6th Day","2000","123 mins","5.9","Action; Mystery; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The6thDay200081920_f.jpg"
"The 7th Voyage of Sinbad","1958","88 mins","7.0","Action; Adventure; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The7thVoyageofSinbad195887073_f.jpg"
"8 Mile","2002","110 mins","7.2","Drama; Music","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\8Mile200287061_f.jpg"
"8-Bit Christmas","2021","98 mins","6.7","Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\8BitChristmas202181816_f.jpg"
"9/11: One Day In America","2021","295 mins","9.2","Documentary; History","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\911OneDayInAmerica202167275_f.jpg"
"12 Angry Men","1957","96 mins","9.0","Crime; Drama","Vudu","No","2013","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12AngryMen195784212_f.jpg"
"12 Monkeys","1995","129 mins","8.0","Action; Adventure; Science Fiction","Vudu","No","1998","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysVUDU199584722_f.jpg"
"12 Monkeys: Season 1","2015","562 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason1201587986_f.jpg"
"12 Monkeys: Season 2","2016","555 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason2201688007_f.jpg"
"12 Monkeys: Season 3","2017","432 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason3201788016XYMW_f.jpg"
"12 Monkeys: Season 4","2018","477 mins","7.7","Adventure; Drama; Mystery; Science Fiction; Thriller","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12MonkeysSeason4201888023I2N6_f.jpg"
"12 Strong","2018","130 mins","6.5","Action; Drama; History; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\12Strong201881665_f.jpg"
"13","2010","91 mins","6.0","Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\13201087789VEAO_f.jpg"
"13 Hours: The Secret Soldiers Of Benghazi","2016","144 mins","7.3","Action; Comedy; Drama; Romance; Thriller; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\13HoursTheSecretSoldiers81696_f.jpg"
"The 15:17 to Paris","2018","94 mins","5.3","Biography; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\The1517toParis201881675_f.jpg"
"20 Million Miles to Earth","1957","82 mins","6.3","Adventure; Family; Fantasy; Horror; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\20MillionMilestoEarth19581841_f.jpg"
"20,000 Leagues Under The Sea","1954","127 mins","7.2","Adventure; Drama; Family; Fantasy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\20000LeaguesUnderTheSea81879_f.jpg"
"21","2008","123 mins","6.8","Crime; Drama; History; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\21200881687_f.jpg"
"24 Hours To Live","2017","93 mins","5.8","Action; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\24HoursToLive201757289_f.jpg"
"40 Guns to Apache Pass","1967","95 mins","5.8","Adventure; Drama; Romance; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\40GunstoApachePass196744289_f.jpg"
"42","2013","128 mins","7.5","Biography; Drama; Sports","Vudu","No","2013","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\42VUDU201384798_f.jpg"
"42nd Street","1933","89 mins","7.3","Comedy; Musical; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\42ndStreet1933926_f.jpg"
"47 Ronin","2013","128 mins","6.2","Action; Drama; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\47Ronin201360791_f.jpg"
"48 Hrs.","1982","96 mins","6.9","Action; Comedy; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\48Hrs198263438_f.jpg"
"50/50","2011","100 mins","7.6","Comedy; Drama; Romance","Vudu","No","2012","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\5050201181886_f.jpg"
"65","2023","93 mins","5.4","Action; Adventure; Drama; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\65202381707_f.jpg"
"80 for Brady","2023","98 mins","5.9","Comedy; Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\80forBrady202384178_f.jpg"
"99 River Street","1953","83 mins","7.4","Action; Crime; Drama; Film Noir; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\99RiverStreet195312698_f.jpg"
"101 Dalmatians","1961","79 mins","7.3","Animation; Comedy; Family","Vudu","No","2008","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101Dalmatians196187185_f.jpg"
"101 Dalmatians (Live Action)","1996","103 mins","5.8","Adventure; Comedy; Family","Vudu","No","1997","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101DalmatiansLiveAction81411_f.jpg"
"101 Dalmatians 2: Patch's London Adventure","2002","74 mins","5.7","Adventure; Animation; Comedy; Family; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\101Dalmatians2PatchsLond60097_f.jpg"
"102 Dalmatians","2000","100 mins","4.9","Adventure; Comedy; Family","Vudu","No","2001","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\102Dalmatians200078748_f.jpg"
"211","2018","86 mins","4.4","Action; Drama; Horror; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\211201863871_f.jpg"
"300","2006","117 mins","7.6","Action; Drama","Vudu","No","2010","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\300200644392_f.jpg"
"711 Ocean Drive","1950","102 mins","6.8","Action; Crime; Drama; Film Noir; Romance; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\711OceanDrive195044335_f.jpg"
"1001 Classic Commercials","2008","960 mins","6.1","Special Interest","DVD","No","2009","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1001ClassicCommercials200869633_f.jpg"
"1408","2007","104 mins","6.8","Fantasy; Horror; Mystery","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1408200790910ZVZY_f.jpg"
"1776","1972","165 mins","7.6","Drama; Family; History; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\1776197234513_f.jpg"
"2001: A Space Odyssey","1968","149 mins","8.3","Adventure; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\2001ASpaceOdyssey19688631_f.jpg"
"2012","2009","158 mins","5.8","Action; Adventure; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\201220099544_f.jpg"
"A.I. Artificial Intelligence","2001","146 mins","7.2","Drama; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AIArtificialIntelligence34552_f.jpg"
"Abduction","2011","106 mins","5.1","Action; Drama; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Abduction201154262_f.jpg"
"About a Boy","2002","101 mins","7.1","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutaBoy200260497_f.jpg"
"About Last Night","1986","113 mins","6.3","Comedy; Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutLastNight198644046_f.jpg"
"About Last Night","2014","100 mins","6.0","Comedy; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutLastNight201481742_f.jpg"
"About Schmidt","2002","125 mins","7.2","Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AboutSchmidt200291135AXDX_f.jpg"
"The Absent Minded Professor","1961","92 mins","6.7","Comedy; Family; Science Fiction; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAbsentMindedProfessor181837_f.jpg"
"According To Jim: Season 1","2001","470 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason12050605_f.jpg"
"According To Jim: Season 2","2001","660 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason22050627_f.jpg"
"According To Jim: Season 3","2003","624 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason32050638_f.jpg"
"According To Jim: Season 4","2004","598 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason42050643_f.jpg"
"According To Jim: Season 5","2005","486 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason52050651_f.jpg"
"According To Jim: Season 6","2007","396 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason62050657_f.jpg"
"According To Jim: Season 7","2008","394 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason72050661_f.jpg"
"According To Jim: Season 8","2008","404 mins","6.5","Comedy; Romance","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AccordingToJimSeason82050665_f.jpg"
"Aces High","1976","114 mins","6.6","Action; Drama; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AcesHigh197656847_f.jpg"
"Acts Of Violence","2018","86 mins","5.3","Action; Crime; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\ActsOfViolence201887239_f.jpg"
"The Addams Family","1991","99 mins","7.0","Comedy; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAddamsFamily199184479_f.jpg"
"Addams Family Values","1993","94 mins","6.9","Comedy; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AddamsFamilyValues199384471_f.jpg"
"The Addams Family","2019","86 mins","5.9","Animation; Comedy; Family; Fantasy; Horror","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAddamsFamily201984647_f.jpg"
"The Addams Family 2","2021","93 mins","5.4","Adventure; Animation; Comedy; Family; Fantasy; Horror","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAddamsFamily2202184650_f.jpg"
"Open Water 2: Adrift","2006","94 mins","5.2","Adventure; Drama; Horror; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\OpenWater2Adrift200687496C7AV_f.jpg"
"Adventures of Bailey: The Lost Puppy","2010","90 mins","5.0","Family","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AdventuresofBaileyTheLost5148_f.jpg"
"The Adventures of Baron Munchausen","1988","126 mins","7.1","Adventure; Comedy; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresofBaronMuncha37724_f.jpg"
"The Adventures Of Elmo In Grouchland","1999","73 mins","5.8","Children; Comedy; Family","Vudu","No","1999","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresOfElmoInGrou81896_f.jpg"
"The Adventures of Ichabod and Mr. Toad","1949","68 mins","6.8","Animation; Comedy; Family; Fantasy; Horror","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresofIchabodand35063_f.jpg"
"The Adventures of Milo and Otis","1986","90 mins","6.9","Adventure; Drama; Family","Vudu","No","1999","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresofMiloandOti4871_f.jpg"
"The Adventures of Ragtime","1998","200 mins","3.7","Comedy; Family","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresofRagtime1994694_f.jpg"
"The Adventures of Robin Hood","1938","102 mins","7.9","Action; Adventure; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresofRobinHood53792_f.jpg"
"The Adventures Of Tintin","2011","106 mins","7.3","Adventure; Animation","Vudu","No","2012","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAdventuresOfTintinVUD84771_f.jpg"
"Æon Flux","2005","93 mins","5.4","Action; Adventure; Science Fiction; Thriller","","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\onFlux200594720_f.jpg"
"Affair in Trinidad","1952","98 mins","6.6","Crime; Drama; Film Noir; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AffairinTrinidad195237441_f.jpg"
"Against All Odds","1984","128 mins","5.9","Action; Adventure; Crime; Drama; Romance; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AgainstAllOdds198441532_f.jpg"
"The Age of Innocence","1993","139 mins","7.2","Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAgeofInnocence199337743_f.jpg"
"Air Force One","1997","124 mins","6.5","Action; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AirForceOne199784198_f.jpg"
"Airplane!","1980","88 mins","7.7","Comedy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Airplane198084460_f.jpg"
"Airplane II: The Sequel","1982","85 mins","6.2","Comedy; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AirplaneIITheSequel198284688_f.jpg"
"Aladdin","1992","90 mins","8.0","Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Aladdin199284616_f.jpg"
"Aladdin (Live Action)","2019","128 mins","6.9","Adventure; Family; Fantasy; Musical; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AladdinLiveAction201981718_f.jpg"
"Albert","2016","42 mins","6.2","Animation; Family","DVD","No","2017","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Albert201684658_f.jpg"
"Albert Nobbs","2011","113 mins","6.7","Drama; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlbertNobbs201156639_f.jpg"
"Alex Cross","2012","101 mins","5.2","Action; Crime; Mystery; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlexCross201254304_f.jpg"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","81 mins","6.2","Comedy; Family","Vudu","No","2015","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlexanderandtheTerribleHo84150_f.jpg"
"Alf: Season 1","1986","616 mins","7.4","Comedy; Family; Science Fiction","DVD; Vudu","Yes","2004","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlfSeason1198650397_f.jpg"
"Alf: Season 2","1987","550 mins","7.4","Comedy; Family; Science Fiction","DVD; Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlfSeason2198750427_f.jpg"
"Alf: Season 3","1986","550 mins","7.4","Animation; Comedy; Family","DVD; Vudu","Yes","2006","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlfSeason3198650413_f.jpg"
"Alf: Season 4","1989","500 mins","7.4","Animation; Comedy","DVD; Vudu","Yes","2006","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlfSeason4198950420_f.jpg"
"Alfie","1966","114 mins","7.0","Comedy; Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Alfie196692262_f.jpg"
"Alfred Hitchcock Presents: Season 1","1956","1147 mins","8.5","Drama; Mystery","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlfredHitchcockPresentsSea57507_f.jpg"
"Ali","2001","157 mins","6.7","Biography; Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Ali20015887_f.jpg"
"Alias Jesse James","1959","92 mins","6.5","Comedy; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliasJesseJames195912719_f.jpg"
"Alice In Wonderland","1951","75 mins","7.3","Animation; Family; Fantasy","Vudu","No","2011","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceInWonderland195184740_f.jpg"
"Alice In Wonderland (Live Action)","2010","108 mins","6.4","Adventure; Animation; Family; Fantasy; Science Fiction","Vudu","No","2010","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceInWonderlandLiveActi84737_f.jpg"
"Alice: Season 1","1976","720 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason1197667122_f.jpg"
"Alice: Season 2","1977","720 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason2197767133_f.jpg"
"Alice: Season 3","1978","720 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason3197867144_f.jpg"
"Alice: Season 4","1980","720 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason4198067150_f.jpg"
"Alice: Season 5","1981","600 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason5198167154_f.jpg"
"Alice: Season 6","1981","720 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason6198167161_f.jpg"
"Alice: Season 7","1983","690 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason7198367167_f.jpg"
"Alice: Season 8","1984","690 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason8198467172_f.jpg"
"Alice: Season 9","1985","480 mins","6.9","Comedy","Vudu","Yes","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceSeason9198567177_f.jpg"
"Alice: Through The Looking Glass","2016","118 mins","6.2","Adventure; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliceThroughTheLookingGla81753_f.jpg"
"Alien","1979","117 mins","8.5","Horror; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Alien197910321_f.jpg"
"Aliens","1986","137 mins","8.4","Action; Adventure; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Aliens198610335_f.jpg"
"Alien³","1992","114 mins","6.4","Action; Horror; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Alien199212523_f.jpg"
"Alien: Resurrection","1997","109 mins","6.2","Action; Horror; Science Fiction","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlienResurrection199712537_f.jpg"
"Alien: Covenant","2017","122 mins","6.4","Horror; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlienCovenant201712555_f.jpg"
"Alien vs. Predator","2004","101 mins","5.7","Action; Adventure; Horror; Science Fiction; Thriller","Vudu","No","2005","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlienvsPredator200444434_f.jpg"
"Alien: Romulus","2024","119 mins","7.1","Horror; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlienRomulus202457162_f.jpg"
"Aliens in the Attic","2009","86 mins","5.4","Adventure; Comedy; Family; Fantasy; Science Fiction","Vudu","No","2009","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AliensintheAttic200987088_f.jpg"
"All the King's Men","1949","110 mins","7.4","Drama; Film Noir","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlltheKingsMen194912572_f.jpg"
"All the King's Men","2006","128 mins","6.1","Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlltheKingsMen200644132_f.jpg"
"All the President's Men","1976","138 mins","7.9","Drama; History; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AllthePresidentsMen197612622_f.jpg"
"Almost Famous","2000","122 mins","7.9","Adventure; Comedy; Drama; Music","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlmostFamous200063356_f.jpg"
"Along Came Jones","1945","90 mins","6.5","Comedy; Romance; Western","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlongCameJones194512739_f.png"
"Along Came Polly","2004","90 mins","6.0","Comedy; Romance","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlongCamePolly200460513_f.jpg"
"Alpha And Omega","2010","88 mins","5.1","Adventure; Animation; Comedy","Vudu","No","2011","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaAndOmega201084607_f.jpg"
"Alpha and Omega 2: A Howl-iday Adventure","2013","45 mins","4.7","Action; Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmega2AHowliday84563_f.jpg"
"Alpha and Omega 3: The Great Wolf Games","2014","45 mins","4.2","Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmega3TheGreatW84570_f.jpg"
"Alpha and Omega 4: The Legend of the Saw Toothed Cave","2014","45 mins","5.0","Action; Adventure; Animation; Comedy; Drama; Family; Fantasy; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmega4TheLegend84533_f.jpg"
"Alpha and Omega 5: Family Vacation","2015","44 mins","4.2","Action; Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmega5FamilyVaca84576_f.jpg"
"Alpha and Omega 7: The Big Fureeze","2016","45 mins","4.1","Action; Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmega7TheBigFur84583_f.jpg"
"Alpha and Omega: Dino Digs","2016","47 mins","3.5","Adventure; Animation; Comedy; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmegaDinoDigs2084544_f.jpg"
"Alpha and Omega: Journey to Bear Kingdom","2017","44 mins","3.8","Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlphaandOmegaJourneytoBe84556_f.jpg"
"Alvin & The Chipmunks: Chipmunk Christmas","1983","66 mins","6.6","Adventure; Animation; Comedy; Music; Musical","DVD","No","2005","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlvinTheChipmunksChipmun87108_f.jpg"
"Alvin And The Chipmunks","2007","91 mins","5.3","Animation; Comedy; Family; Fantasy","Vudu","No","2008","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlvinAndTheChipmunksVUDU84808_f.jpg"
"Alvin And The Chipmunks: The Squeakquel","2009","85 mins","4.6","Animation; Comedy; Family","Vudu","No","2010","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlvinAndTheChipmunksTheS84805_f.jpg"
"Alvin And The Chipmunks: The Road Chip","2015","92 mins","4.9","Adventure; Animation; Comedy; Family; Fantasy","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlvinAndTheChipmunksTheR84629_f.jpg"
"Alvin And The Chipmunks: Chipwrecked","2011","87 mins","4.4","Adventure; Comedy; Family; Fantasy; Music; Musical","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AlvinAndTheChipmunksChipw87057_f.jpg"
"Ambulance","2022","137 mins","6.1","Action; Crime; Drama; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\Ambulance202281903_f.jpg"
"The Ambushers","1967","102 mins","5.3","Action; Comedy; Science Fiction; Thriller","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAmbushers196744185_f.jpg"
"American Beauty","1999","122 mins","8.3","Drama","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AmericanBeauty199913611_f.jpg"
"An American in Paris","1951","114 mins","7.1","Drama; Musical; Romance","DVD","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AnAmericaninParis19514650_f.jpg"
"The American President","1995","114 mins","6.9","Comedy; Drama; Romance","Vudu","No","2004","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\TheAmericanPresidentVUDU84815_f.jpg"
"American Sniper","2014","132 mins","7.3","Action; Biography; Drama; History; Romance; Thriller; War","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AmericanSniper201484115_f.jpg"
"An American Tail","1986","80 mins","6.9","Adventure; Animation; Comedy; Family","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AnAmericanTail198687175_f.jpg"
"American Underdog","2021","112 mins","7.1","Biography; Drama; Sports","Vudu","No","","No","C:\Users\natha\OneDrive\Documents\Movie Collector\Images\AmericanUnderdog202184203_f.jpg"
